400,300.0
401,300.75
402,301.5
403,302.25
404,303.0
405,303.75
406,304.5
407,305.25
408,306.0
409,306.75
410,307.5
411,308.25
412,309.0
413,309.75
414,310.5
415,311.25
416,312.0
417,312.75
418,313.5
419,314.25
420,315.0
421,315.75
422,316.5
423,317.25
424,318.0
425,318.75
426,319.5
427,320.25
428,321.0
429,321.75
430,322.5
431,323.25
432,324.0
433,324.75
434,325.5
435,326.25
436,327.0
437,327.75
438,328.5
439,329.25
440,330.0
441,330.75
442,331.5
443,332.25
444,333.0
445,333.75
446,334.5
447,335.25
448,336.0
449,336.75
450,337.5
451,338.25
452,339.0
453,339.75
454,340.5
455,341.25
456,342.0
457,342.75
458,343.5
459,344.25
460,345.0
461,345.75
462,346.5
463,347.25
464,348.0
465,348.75
466,349.5
467,350.25
468,351.0
469,351.75
470,352.5
471,353.25
472,354.0
473,354.75
474,355.5
475,356.25
476,357.0
477,357.75
478,358.5
479,359.25
480,360.0
481,360.75
482,361.5
483,362.25
484,363.0
485,363.75
486,364.5
487,365.25
488,366.0
489,366.75
490,367.5
491,368.25
492,369.0
493,369.75
494,370.5
495,371.25
496,372.0
497,372.75
498,373.5
499,374.25
500,375.0
